"","County","Category","Proportion","Names","cat"
"1","Mombasa","Use appropriate treatment method",31,"Mombasa, 31%",">25.2"
"2","Mombasa","Boil",10,"Mombasa, 10%","3.0-25.2"
"3","Mombasa","Bleach/chlorine",24.2,"Mombasa, 24.2%","3.0-25.2"
"4","Mombasa","Strain through cloth",0.5,"Mombasa, 0.5%","0.3-2.9"
"5","Mombasa","Ceramic/sand/other filter",0.4,"Mombasa, 0.4%","0.3-2.9"
"6","Mombasa","Solar disinfection",0,"Mombasa, 0%","<0.3"
"7","Mombasa","Stand & settle",0.2,"Mombasa, 0.2%","<0.3"
"8","Mombasa","Cover container",0,"Mombasa, 0%","<0.3"
"9","Mombasa","Other",0.3,"Mombasa, 0.3%","0.3-2.9"
"10","Mombasa","Don't know",0,"Mombasa, 0%","<0.3"
"11","Mombasa","No treatment",68.4,"Mombasa, 68.4%",">25.2"
"12","Kwale","Use appropriate treatment method",16.8,"Kwale, 16.8%","3.0-25.2"
"13","Kwale","Boil",5.2,"Kwale, 5.2%","3.0-25.2"
"14","Kwale","Bleach/chlorine",14,"Kwale, 14%","3.0-25.2"
"15","Kwale","Strain through cloth",0.9,"Kwale, 0.9%","0.3-2.9"
"16","Kwale","Ceramic/sand/other filter",0.1,"Kwale, 0.1%","<0.3"
"17","Kwale","Solar disinfection",0,"Kwale, 0%","<0.3"
"18","Kwale","Stand & settle",1.2,"Kwale, 1.2%","0.3-2.9"
"19","Kwale","Cover container",0,"Kwale, 0%","<0.3"
"20","Kwale","Other",0,"Kwale, 0%","<0.3"
"21","Kwale","Don't know",0,"Kwale, 0%","<0.3"
"22","Kwale","No treatment",81.8,"Kwale, 81.8%",">25.2"
"23","Kilifi","Use appropriate treatment method",10.3,"Kilifi, 10.3%","3.0-25.2"
"24","Kilifi","Boil",3.8,"Kilifi, 3.8%","3.0-25.2"
"25","Kilifi","Bleach/chlorine",6.9,"Kilifi, 6.9%","3.0-25.2"
"26","Kilifi","Strain through cloth",0.6,"Kilifi, 0.6%","0.3-2.9"
"27","Kilifi","Ceramic/sand/other filter",0.1,"Kilifi, 0.1%","<0.3"
"28","Kilifi","Solar disinfection",0,"Kilifi, 0%","<0.3"
"29","Kilifi","Stand & settle",0.6,"Kilifi, 0.6%","0.3-2.9"
"30","Kilifi","Cover container",3.3,"Kilifi, 3.3%","3.0-25.2"
"31","Kilifi","Other",0.1,"Kilifi, 0.1%","<0.3"
"32","Kilifi","Don't know",0,"Kilifi, 0%","<0.3"
"33","Kilifi","No treatment",86,"Kilifi, 86%",">25.2"
"34","Tana River","Use appropriate treatment method",12.8,"Tana River, 12.8%","3.0-25.2"
"35","Tana River","Boil",0.9,"Tana River, 0.9%","0.3-2.9"
"36","Tana River","Bleach/chlorine",8.5,"Tana River, 8.5%","3.0-25.2"
"37","Tana River","Strain through cloth",0.1,"Tana River, 0.1%","<0.3"
"38","Tana River","Ceramic/sand/other filter",3.7,"Tana River, 3.7%","3.0-25.2"
"39","Tana River","Solar disinfection",0,"Tana River, 0%","<0.3"
"40","Tana River","Stand & settle",0,"Tana River, 0%","<0.3"
"41","Tana River","Cover container",0.1,"Tana River, 0.1%","<0.3"
"42","Tana River","Other",0,"Tana River, 0%","<0.3"
"43","Tana River","Don't know",0,"Tana River, 0%","<0.3"
"44","Tana River","No treatment",87.2,"Tana River, 87.2%",">25.2"
"45","Lamu","Use appropriate treatment method",19.4,"Lamu, 19.4%","3.0-25.2"
"46","Lamu","Boil",7.3,"Lamu, 7.3%","3.0-25.2"
"47","Lamu","Bleach/chlorine",13.6,"Lamu, 13.6%","3.0-25.2"
"48","Lamu","Strain through cloth",0.5,"Lamu, 0.5%","0.3-2.9"
"49","Lamu","Ceramic/sand/other filter",0,"Lamu, 0%","<0.3"
"50","Lamu","Solar disinfection",0,"Lamu, 0%","<0.3"
"51","Lamu","Stand & settle",1.1,"Lamu, 1.1%","0.3-2.9"
"52","Lamu","Cover container",0.7,"Lamu, 0.7%","0.3-2.9"
"53","Lamu","Other",0.5,"Lamu, 0.5%","0.3-2.9"
"54","Lamu","Don't know",0.2,"Lamu, 0.2%","<0.3"
"55","Lamu","No treatment",79,"Lamu, 79%",">25.2"
"56","Taita Taveta","Use appropriate treatment method",28.3,"Taita Taveta, 28.3%",">25.2"
"57","Taita Taveta","Boil",13.9,"Taita Taveta, 13.9%","3.0-25.2"
"58","Taita Taveta","Bleach/chlorine",16.8,"Taita Taveta, 16.8%","3.0-25.2"
"59","Taita Taveta","Strain through cloth",0.2,"Taita Taveta, 0.2%","<0.3"
"60","Taita Taveta","Ceramic/sand/other filter",0.2,"Taita Taveta, 0.2%","<0.3"
