"","County","Category","Proportion","Names","cat"
"1","Mombasa","Appropriate management method",93.7,"Mombasa, 93.7%",">47.7"
"2","Mombasa","Connected to sewer",16.5,"Mombasa, 16.5%","10.7-47.7"
"3","Mombasa","Safe disposal from on-site facilities",72.2,"Mombasa, 72.2%",">47.7"
"4","Mombasa","Unsafe disposal from on-site facilities",0.1,"Mombasa, 0.1%","<1.0"
"5","Mombasa","Removal for treatment off-site",4.9,"Mombasa, 4.9%","0.9-10.6"
"6","Mombasa","Improved facilities",0.9,"Mombasa, 0.9%","<1.0"
"7","Mombasa","Unimproved facilities",4.6,"Mombasa, 4.6%","0.9-10.6"
"8","Mombasa","Open defecation",0.7,"Mombasa, 0.7%","<1.0"
"9","Kwale","Appropriate management method",47.8,"Kwale, 47.8%",">47.7"
"10","Kwale","Connected to sewer",0.1,"Kwale, 0.1%","<1.0"
"11","Kwale","Safe disposal from on-site facilities",47.4,"Kwale, 47.4%","10.7-47.7"
"12","Kwale","Unsafe disposal from on-site facilities",1.3,"Kwale, 1.3%","0.9-10.6"
"13","Kwale","Removal for treatment off-site",0.3,"Kwale, 0.3%","<1.0"
"14","Kwale","Improved facilities",0,"Kwale, 0%","<1.0"
"15","Kwale","Unimproved facilities",24.4,"Kwale, 24.4%","10.7-47.7"
"16","Kwale","Open defecation",26.4,"Kwale, 26.4%","10.7-47.7"
"17","Kilifi","Appropriate management method",55.4,"Kilifi, 55.4%",">47.7"
"18","Kilifi","Connected to sewer",0.5,"Kilifi, 0.5%","<1.0"
"19","Kilifi","Safe disposal from on-site facilities",54.5,"Kilifi, 54.5%",">47.7"
"20","Kilifi","Unsafe disposal from on-site facilities",0.1,"Kilifi, 0.1%","<1.0"
"21","Kilifi","Removal for treatment off-site",0.4,"Kilifi, 0.4%","<1.0"
"22","Kilifi","Improved facilities",0,"Kilifi, 0%","<1.0"
"23","Kilifi","Unimproved facilities",23.4,"Kilifi, 23.4%","10.7-47.7"
"24","Kilifi","Open defecation",21,"Kilifi, 21%","10.7-47.7"
"25","Tana River","Appropriate management method",33.1,"Tana River, 33.1%","10.7-47.7"
"26","Tana River","Connected to sewer",0.4,"Tana River, 0.4%","<1.0"
"27","Tana River","Safe disposal from on-site facilities",32.5,"Tana River, 32.5%","10.7-47.7"
"28","Tana River","Unsafe disposal from on-site facilities",0.2,"Tana River, 0.2%","<1.0"
"29","Tana River","Removal for treatment off-site",0.2,"Tana River, 0.2%","<1.0"
"30","Tana River","Improved facilities",0,"Tana River, 0%","<1.0"
"31","Tana River","Unimproved facilities",11.5,"Tana River, 11.5%","10.7-47.7"
"32","Tana River","Open defecation",55.2,"Tana River, 55.2%",">47.7"
"33","Lamu","Appropriate management method",57.6,"Lamu, 57.6%",">47.7"
"34","Lamu","Connected to sewer",2.2,"Lamu, 2.2%","0.9-10.6"
"35","Lamu","Safe disposal from on-site facilities",53.6,"Lamu, 53.6%",">47.7"
"36","Lamu","Unsafe disposal from on-site facilities",1.2,"Lamu, 1.2%","0.9-10.6"
"37","Lamu","Removal for treatment off-site",1.8,"Lamu, 1.8%","0.9-10.6"
"38","Lamu","Improved facilities",0.2,"Lamu, 0.2%","<1.0"
"39","Lamu","Unimproved facilities",25.2,"Lamu, 25.2%","10.7-47.7"
"40","Lamu","Open defecation",15.8,"Lamu, 15.8%","10.7-47.7"
"41","Taita Taveta","Appropriate management method",78.1,"Taita Taveta, 78.1%",">47.7"
"42","Taita Taveta","Connected to sewer",1.9,"Taita Taveta, 1.9%","0.9-10.6"
"43","Taita Taveta","Safe disposal from on-site facilities",74.1,"Taita Taveta, 74.1%",">47.7"
"44","Taita Taveta","Unsafe disposal from on-site facilities",0.5,"Taita Taveta, 0.5%","<1.0"
"45","Taita Taveta","Removal for treatment off-site",2,"Taita Taveta, 2%","0.9-10.6"
"46","Taita Taveta","Improved facilities",0.6,"Taita Taveta, 0.6%","<1.0"
"47","Taita Taveta","Unimproved facilities",20.4,"Taita Taveta, 20.4%","10.7-47.7"
"48","Taita Taveta","Open defecation",0.4,"Taita Taveta, 0.4%","<1.0"
"49","Garissa","Appropriate management method",79.7,"Garissa, 79.7%",">47.7"
"50","Garissa","Connected to sewer",21.4,"Garissa, 21.4%","10.7-47.7"
"51","Garissa","Safe disposal from on-site facilities",57.3,"Garissa, 57.3%",">47.7"
"52","Garissa","Unsafe disposal from on-site facilities",0,"Garissa, 0%","<1.0"
"53","Garissa","Removal for treatment off-site",1,"Garissa, 1%","0.9-10.6"
"54","Garissa","Improved facilities",0,"Garissa, 0%","<1.0"
"55","Garissa","Unimproved facilities",2.8,"Garissa, 2.8%","0.9-10.6"
"56","Garissa","Open defecation",17.5,"Garissa, 17.5%","10.7-47.7"
"57","Wajir","Appropriate management method",31.3,"Wajir, 31.3%","10.7-47.7"
"58","Wajir","Connected to sewer",1,"Wajir, 1%","0.9-10.6"
"59","Wajir","Safe disposal from on-site facilities",27.9,"Wajir, 27.9%","10.7-47.7"
"60","Wajir","Unsafe disposal from on-site facilities",0.7,"Wajir, 0.7%","<1.0"
"61","Wajir","Removal for treatment off-site",2.5,"Wajir, 2.5%","0.9-10.6"
"62","Wajir","Improved facilities",0,"Wajir, 0%","<1.0"
"63","Wajir","Unimproved facilities",27.9,"Wajir, 27.9%","10.7-47.7"
"64","Wajir","Open defecation",40,"Wajir, 40%","10.7-47.7"
"65","Mandera","Appropriate management method",71,"Mandera, 71%",">47.7"
"66","Mandera","Connected to sewer",0.4,"Mandera, 0.4%","<1.0"
"67","Mandera","Safe disposal from on-site facilities",70.6,"Mandera, 70.6%",">47.7"
"68","Mandera","Unsafe disposal from on-site facilities",0,"Mandera, 0%","<1.0"
"69","Mandera","Removal for treatment off-site",0,"Mandera, 0%","<1.0"
"70","Mandera","Improved facilities",0,"Mandera, 0%","<1.0"
"71","Mandera","Unimproved facilities",1.9,"Mandera, 1.9%","0.9-10.6"
"72","Mandera","Open defecation",27.1,"Mandera, 27.1%","10.7-47.7"
"73","Marsabit","Appropriate management method",52.7,"Marsabit, 52.7%",">47.7"
"74","Marsabit","Connected to sewer",0,"Marsabit, 0%","<1.0"
"75","Marsabit","Safe disposal from on-site facilities",52.7,"Marsabit, 52.7%",">47.7"
"76","Marsabit","Unsafe disposal from on-site facilities",0,"Marsabit, 0%","<1.0"
"77","Marsabit","Removal for treatment off-site",0,"Marsabit, 0%","<1.0"
"78","Marsabit","Improved facilities",0,"Marsabit, 0%","<1.0"
"79","Marsabit","Unimproved facilities",5.5,"Marsabit, 5.5%","0.9-10.6"
"80","Marsabit","Open defecation",41.8,"Marsabit, 41.8%","10.7-47.7"
"81","Isiolo","Appropriate management method",61,"Isiolo, 61%",">47.7"
"82","Isiolo","Connected to sewer",6.3,"Isiolo, 6.3%","0.9-10.6"
"83","Isiolo","Safe disposal from on-site facilities",52.3,"Isiolo, 52.3%",">47.7"
"84","Isiolo","Unsafe disposal from on-site facilities",0.3,"Isiolo, 0.3%","<1.0"
"85","Isiolo","Removal for treatment off-site",2.4,"Isiolo, 2.4%","0.9-10.6"
