"","Value","Category","Proportion","Background characteristics"
"1","Urban","Appropriate management method",90,"Residence"
"2","Urban","Connected to sewer",28,"Residence"
"3","Urban","Safe disposal from on-site facilities",53,"Residence"
"4","Urban","Unsafe disposal from on-site facilities",0.4,"Residence"
"5","Urban","Removal for treatment off-site",8,"Residence"
"6","Urban","Improved facilities",2,"Residence"
"7","Urban","Unimproved facilities",7,"Residence"
"8","Urban","Open defecation",1,"Residence"
"9","Rural","Appropriate management method",54,"Residence"
"10","Rural","Connected to sewer",0.3,"Residence"
"11","Rural","Safe disposal from on-site facilities",53,"Residence"
"12","Rural","Unsafe disposal from on-site facilities",0.1,"Residence"
"13","Rural","Removal for treatment off-site",0.5,"Residence"
"14","Rural","Improved facilities",0,"Residence"
"15","Rural","Unimproved facilities",36,"Residence"
"16","Rural","Open defecation",10,"Residence"
"17","Lowest","Appropriate management method",22,"Wealth quintile"
"18","Lowest","Connected to sewer",0,"Wealth quintile"
"19","Lowest","Safe disposal from on-site facilities",22,"Wealth quintile"
"20","Lowest","Unsafe disposal from on-site facilities",0,"Wealth quintile"
"21","Lowest","Removal for treatment off-site",0,"Wealth quintile"
"22","Lowest","Improved facilities",0,"Wealth quintile"
"23","Lowest","Unimproved facilities",45,"Wealth quintile"
"24","Lowest","Open defecation",32,"Wealth quintile"
"25","Second","Appropriate management method",49,"Wealth quintile"
"26","Second","Connected to sewer",0.4,"Wealth quintile"
"27","Second","Safe disposal from on-site facilities",48,"Wealth quintile"
"28","Second","Unsafe disposal from on-site facilities",0.1,"Wealth quintile"
"29","Second","Removal for treatment off-site",0.2,"Wealth quintile"
"30","Second","Improved facilities",0,"Wealth quintile"
"31","Second","Unimproved facilities",48,"Wealth quintile"
"32","Second","Open defecation",3,"Wealth quintile"
"33","Middle","Appropriate management method",74,"Wealth quintile"
"34","Middle","Connected to sewer",2,"Wealth quintile"
"35","Middle","Safe disposal from on-site facilities",72,"Wealth quintile"
"36","Middle","Unsafe disposal from on-site facilities",0.1,"Wealth quintile"
"37","Middle","Removal for treatment off-site",1,"Wealth quintile"
"38","Middle","Improved facilities",0.1,"Wealth quintile"
"39","Middle","Unimproved facilities",26,"Wealth quintile"
"40","Middle","Open defecation",1,"Wealth quintile"
"41","Fourth","Appropriate management method",90,"Wealth quintile"
"42","Fourth","Connected to sewer",10,"Wealth quintile"
"43","Fourth","Safe disposal from on-site facilities",75,"Wealth quintile"
"44","Fourth","Unsafe disposal from on-site facilities",0.3,"Wealth quintile"
"45","Fourth","Removal for treatment off-site",4,"Wealth quintile"
"46","Fourth","Improved facilities",1,"Wealth quintile"
"47","Fourth","Unimproved facilities",9,"Wealth quintile"
"48","Fourth","Open defecation",0,"Wealth quintile"
"49","Highest","Appropriate management method",95,"Wealth quintile"
"50","Highest","Connected to sewer",36,"Wealth quintile"
"51","Highest","Safe disposal from on-site facilities",48,"Wealth quintile"
"52","Highest","Unsafe disposal from on-site facilities",0.4,"Wealth quintile"
"53","Highest","Removal for treatment off-site",10,"Wealth quintile"
"54","Highest","Improved facilities",2,"Wealth quintile"
"55","Highest","Unimproved facilities",3,"Wealth quintile"
"56","Highest","Open defecation",0,"Wealth quintile"
