"Value","Category","Proportion","Possessions"
"Radio","Urban",71,"Household effects"
"Radio","Rural",62,"Household effects"
"Television","Urban",68,"Household effects"
"Television","Rural",38,"Household effects"
"Mobile phone","Urban",97,"Household effects"
"Mobile phone","Rural",91,"Household effects"
"Computer","Urban",21,"Household effects"
"Computer","Rural",4,"Household effects"
"Non-mobile telephone","Urban",2,"Household effects"
"Non-mobile telephone","Rural",2,"Household effects"
"Refrigerator","Urban",22,"Household effects"
"Refrigerator","Rural",4,"Household effects"
"Watch","Urban",43,"Household effects"
"Watch","Rural",21,"Household effects"
"Solar panel","Urban",10,"Household effects"
"Solar panel","Rural",46,"Household effects"
"Table","Urban",86,"Household effects"
"Table","Rural",86,"Household effects"
"Chair","Urban",83,"Household effects"
"Chair","Rural",89,"Household effects"
"Sofa","Urban",72,"Household effects"
"Sofa","Rural",56,"Household effects"
"Bed","Urban",93,"Household effects"
"Bed","Rural",93,"Household effects"
"Cupboard","Urban",50,"Household effects"
"Cupboard","Rural",45,"Household effects"
"Clock","Urban",24,"Household effects"
"Clock","Rural",10,"Household effects"
"Microwave oven","Urban",14,"Household effects"
"Microwave oven","Rural",2,"Household effects"
"DVD player","Urban",26,"Household effects"
"DVD player","Rural",9,"Household effects"
"Cassette or CD player","Urban",13,"Household effects"
"Cassette or CD player","Rural",4,"Household effects"
"Bicycle","Urban",17,"Means of transportation"
"Bicycle","Rural",16,"Means of transportation"
"Animal drawn cart","Urban",1,"Means of transportation"
"Animal drawn cart","Rural",3,"Means of transportation"
"Motorcycle/scooter","Urban",11,"Means of transportation"
"Motorcycle/scooter","Rural",15,"Means of transportation"
"Car/truck","Urban",13,"Means of transportation"
"Car/truck","Rural",5,"Means of transportation"
"Boat with a motor","Urban",1,"Means of transportation"
"Boat with a motor","Rural",0.3,"Means of transportation"
"Ownership of agricultural land","Urban",33,"Assets"
"Ownership of agricultural land","Rural",71,"Assets"
"Ownership of farm animals","Urban",41,"Assets"
"Ownership of farm animals","Rural",78,"Assets"
"Ownership of dwelling","Urban",21,"Assets"
"Ownership of dwelling","Rural",84,"Assets"
"Ownership of land on which dwelling is built","Urban",20,"Assets"
"Ownership of land on which dwelling is built","Rural",81,"Assets"
