"","Value","Reason For Migration","Proportion","Participants","Background characteristics"
"1","15-19","Employment",15,"Women","Age"
"2","15-19","Education/training",23,"Women","Age"
"3","15-19","Marriage formation",8,"Women","Age"
"4","15-19","Family reasons",50,"Women","Age"
"5","15-19","Forced displacment",1,"Women","Age"
"6","15-19","Other",3,"Women","Age"
"7","20-24","Employment",30,"Women","Age"
"8","20-24","Education/training",19,"Women","Age"
"9","20-24","Marriage formation",27,"Women","Age"
"10","20-24","Family reasons",23,"Women","Age"
"11","20-24","Forced displacment",0.3,"Women","Age"
"12","20-24","Other",1,"Women","Age"
"13","25-29","Employment",39,"Women","Age"
"14","25-29","Education/training",8,"Women","Age"
"15","25-29","Marriage formation",34,"Women","Age"
"16","25-29","Family reasons",16,"Women","Age"
"17","25-29","Forced displacment",1,"Women","Age"
"18","25-29","Other",2,"Women","Age"
"19","30-34","Employment",39,"Women","Age"
"20","30-34","Education/training",4,"Women","Age"
"21","30-34","Marriage formation",37,"Women","Age"
"22","30-34","Family reasons",17,"Women","Age"
"23","30-34","Forced displacment",1,"Women","Age"
"24","30-34","Other",2,"Women","Age"
"25","35-39","Employment",39,"Women","Age"
"26","35-39","Education/training",4,"Women","Age"
"27","35-39","Marriage formation",38,"Women","Age"
"28","35-39","Family reasons",16,"Women","Age"
"29","35-39","Forced displacment",1,"Women","Age"
"30","35-39","Other",3,"Women","Age"
"31","40-44","Employment",33,"Women","Age"
"32","40-44","Education/training",3,"Women","Age"
"33","40-44","Marriage formation",42,"Women","Age"
"34","40-44","Family reasons",18,"Women","Age"
"35","40-44","Forced displacment",2,"Women","Age"
"36","40-44","Other",2,"Women","Age"
"37","45-49","Employment",30,"Women","Age"
"38","45-49","Education/training",2,"Women","Age"
"39","45-49","Marriage formation",46,"Women","Age"
"40","45-49","Family reasons",18,"Women","Age"
"41","45-49","Forced displacment",2,"Women","Age"
"42","45-49","Other",2,"Women","Age"
"43","15-19","Employment",17,"Men","Age"
"44","15-19","Education/training",29,"Men","Age"
"45","15-19","Marriage formation",0,"Men","Age"
"46","15-19","Family reasons",48,"Men","Age"
"47","15-19","Forced displacment",1,"Men","Age"
"48","15-19","Other",6,"Men","Age"
"49","20-24","Employment",50,"Men","Age"
"50","20-24","Education/training",26,"Men","Age"
"51","20-24","Marriage formation",0,"Men","Age"
