"","County","Category","Proportion","year","proportion_category","cat"
"1","Mombasa","TFR",2.9,2022,"<4","<3.2"
"2","Kwale","TFR",4.2,2022,">=4","3.6-4.3"
"3","Kilifi","TFR",3.4,2022,"<4","3.2-3.5"
"4","Tana River","TFR",5.7,2022,">=4",">4.3"
"5","Lamu","TFR",4.6,2022,">=4",">4.3"
"6","Taita Taveta","TFR",3.5,2022,"<4","3.2-3.5"
"7","Garissa","TFR",5.3,2022,">=4",">4.3"
"8","Wajir","TFR",6.8,2022,">=4",">4.3"
"9","Mandera","TFR",7.7,2022,">=4",">4.3"
"10","Marsabit","TFR",6.3,2022,">=4",">4.3"
"11","Isiolo","TFR",4.5,2022,">=4",">4.3"
"12","Meru","TFR",3.4,2022,"<4","3.2-3.5"
"13","Tharaka Nithi","TFR",3.1,2022,"<4","<3.2"
"14","Embu","TFR",3.1,2022,"<4","<3.2"
"15","Kitui","TFR",3.2,2022,"<4","3.2-3.5"
"16","Machakos","TFR",2.8,2022,"<4","<3.2"
"17","Makueni","TFR",3.3,2022,"<4","3.2-3.5"
"18","Nyandarua","TFR",3.6,2022,"<4","3.6-4.3"
"19","Nyeri","TFR",3.1,2022,"<4","<3.2"
"20","Kirinyaga","TFR",2.8,2022,"<4","<3.2"
"21","Muranga","TFR",3.5,2022,"<4","3.2-3.5"
"22","Kiambu","TFR",2.9,2022,"<4","<3.2"
"23","Turkana","TFR",6,2022,">=4",">4.3"
"24","West Pokot","TFR",6.9,2022,">=4",">4.3"
"25","Samburu","TFR",5.8,2022,">=4",">4.3"
"26","Trans Nzoia","TFR",3.6,2022,"<4","3.6-4.3"
"27","Uasin Gishu","TFR",3.1,2022,"<4","<3.2"
"28","Elgeyo Marakwet","TFR",4.1,2022,">=4","3.6-4.3"
"29","Nandi","TFR",3,2022,"<4","<3.2"
"30","Baringo","TFR",4.4,2022,">=4",">4.3"
"31","Laikipia","TFR",3.4,2022,"<4","3.2-3.5"
"32","Nakuru","TFR",3.4,2022,"<4","3.2-3.5"
"33","Narok","TFR",4.9,2022,">=4",">4.3"
"34","Kajiado","TFR",3.5,2022,"<4","3.2-3.5"
"35","Kericho","TFR",3.2,2022,"<4","3.2-3.5"
"36","Bomet","TFR",3.4,2022,"<4","3.2-3.5"
"37","Kakamega","TFR",3.7,2022,"<4","3.6-4.3"
"38","Vihiga","TFR",3.5,2022,"<4","3.2-3.5"
"39","Bungoma","TFR",3.6,2022,"<4","3.6-4.3"
"40","Busia","TFR",3.7,2022,"<4","3.6-4.3"
"41","Siaya","TFR",4,2022,">=4","3.6-4.3"
"42","Kisumu","TFR",3.5,2022,"<4","3.2-3.5"
"43","Homa Bay","TFR",3.7,2022,"<4","3.6-4.3"
"44","Migori","TFR",4.4,2022,">=4",">4.3"
"45","Kisii","TFR",3,2022,"<4","<3.2"
"46","Nyamira","TFR",2.7,2022,"<4","<3.2"
"47","Nairobi","TFR",2.6,2022,"<4","<3.2"
