"Ideal.number.children","participants","name","value"
"0","men","0",1.8
"0","men","1",0.3
"0","men","2",0.2
"0","men","3",0.3
"0","men","4",0.3
"0","men","5",0.5
"0","men","6+",0.6
"1","men","0",1.1
"1","men","1",1.3
"1","men","2",0.7
"1","men","3",0.5
"1","men","4",0
"1","men","5",0.5
"1","men","6+",0.1
"2","men","0",16.8
"2","men","1",15.5
"2","men","2",13.8
"2","men","3",7.1
"2","men","4",5.7
"2","men","5",3.9
"2","men","6+",3
"3","men","0",30
"3","men","1",40
"3","men","2",26.6
"3","men","3",27.7
"3","men","4",13.2
"3","men","5",10.8
"3","men","6+",6.6
"4","men","0",28.5
"4","men","1",26.3
"4","men","2",34.7
"4","men","3",31.3
"4","men","4",36.5
"4","men","5",21.6
"4","men","6+",14.1
"5","men","0",10.9
"5","men","1",8.3
"5","men","2",15.1
"5","men","3",17.5
"5","men","4",20.2
"5","men","5",25.2
"5","men","6+",11.7
"6+","men","0",9.9
"6+","men","1",8.1
"6+","men","2",8.2
"6+","men","3",14.2
"6+","men","4",22.5
"6+","men","5",35.5
"6+","men","6+",57.8
"0","women","0",3.1
"0","women","1",1.8
"0","women","2",1.4
"0","women","3",1.5
"0","women","4",1.7
"0","women","5",1.4
"0","women","6+",2
"1","women","0",2.1
"1","women","1",4.1
"1","women","2",2.4
"1","women","3",1.4
"1","women","4",1.6
"1","women","5",0.8
"1","women","6+",1.6
"2","women","0",26.4
"2","women","1",26.1
"2","women","2",22.4
"2","women","3",11.8
"2","women","4",11.3
"2","women","5",8.4
"2","women","6+",4.9
"3","women","0",32.7
"3","women","1",37.6
"3","women","2",26
"3","women","3",27.2
"3","women","4",8.6
"3","women","5",13.6
"3","women","6+",6.8
"4","women","0",23
"4","women","1",19.7
"4","women","2",32.7
"4","women","3",33.8
"4","women","4",42.2
"4","women","5",22.7
"4","women","6+",19.6
"5","women","0",6.1
"5","women","1",6.3
"5","women","2",8
"5","women","3",12.1
"5","women","4",11.7
"5","women","5",24.6
"5","women","6+",9.6
"6+","women","0",5.3
"6+","women","1",3.7
"6+","women","2",6.3
"6+","women","3",11.3
"6+","women","4",20.8
"6+","women","5",25.5
"6+","women","6+",49.2
