"Reason","variable","Proportion"
"Became pregnant while using","All methods",4
"Wanted to become pregnant","All methods",27
"Husband/partner disapproved","All methods",1
"Wanted a more effective method","All methods",15
"Changes in menstrual bleeding","All methods",9
"Other side effects/health concerns","All methods",22
"Lack of access/too far","All methods",2
"Cost too much","All methods",1
"Inconvenient to use","All methods",3
"Up to God/fatalistic","All methods",0.1
"Difficult to get pregnant/menopausal","All methods",1
"Infrequent sex/husband away","All methods",12
"Marital dissolution/separation","All methods",1
"Other","All methods",0.5
"Don't know","All methods",0.5
"Missing","All methods",2
