"Value","Category","Proportion","Participants"
"Total","Radio",59,"Women"
"Total","Television",50,"Women"
"Total","Newspaper/magazine",20,"Women"
"Total","Mobile phone",14,"Women"
"Total","Social media",32,"Women"
"Total","Poster/leaflet/brochure",40,"Women"
"Total","Outdoor sign/billboard",35,"Women"
"Total","Community meeting/events",45,"Women"
"Total","Friends/peers",81,"Women"
"Total","Internet",30,"Women"
"Total 15-54","Radio",69,"Men"
"Total 15-54","Television",55,"Men"
"Total 15-54","Newspaper/magazine",29,"Men"
"Total 15-54","Mobile phone",15,"Men"
"Total 15-54","Social media",39,"Men"
"Total 15-54","Poster/leaflet/brochure",46,"Men"
"Total 15-54","Outdoor sign/billboard",42,"Men"
"Total 15-54","Friends/peers",66,"Men"
"Total 15-54","Internet",38,"Men"
