"Value","Category","Proportion","Background characteristics"
"<20","None",3,"Age at birth"
"<20","1",4,"Age at birth"
"<20","2-3",36,"Age at birth"
"<20","4-7",55,"Age at birth"
"<20","8+",2,"Age at birth"
"20-34","None",2,"Age at birth"
"20-34","1",2,"Age at birth"
"20-34","2-3",28,"Age at birth"
"20-34","4-7",64,"Age at birth"
"20-34","8+",4,"Age at birth"
"35-49","None",4,"Age at birth"
"35-49","1",3,"Age at birth"
"35-49","2-3",33,"Age at birth"
"35-49","4-7",57,"Age at birth"
"35-49","8+",3,"Age at birth"
"1","None",1,"Birth order"
"1","1",2,"Birth order"
"1","2-3",26,"Birth order"
"1","4-7",66,"Birth order"
"1","8+",5,"Birth order"
"2-3","None",1,"Birth order"
"2-3","1",2,"Birth order"
"2-3","2-3",28,"Birth order"
"2-3","4-7",65,"Birth order"
"2-3","8+",4,"Birth order"
"4-5","None",3,"Birth order"
"4-5","1",3,"Birth order"
"4-5","2-3",34,"Birth order"
"4-5","4-7",57,"Birth order"
"4-5","8+",3,"Birth order"
"6+","None",6,"Birth order"
"6+","1",7,"Birth order"
"6+","2-3",37,"Birth order"
"6+","4-7",48,"Birth order"
"6+","8+",2,"Birth order"
"Urban","None",1,"Residence"
"Urban","1",2,"Residence"
"Urban","2-3",23,"Residence"
"Urban","4-7",68,"Residence"
"Urban","8+",6,"Residence"
"Rural","None",2,"Residence"
"Rural","1",3,"Residence"
"Rural","2-3",33,"Residence"
"Rural","4-7",58,"Residence"
"Rural","8+",3,"Residence"
"No education","None",9,"Education"
"No education","1",6,"Education"
"No education","2-3",36,"Education"
"No education","4-7",48,"Education"
"No education","8+",2,"Education"
"Primary","None",2,"Education"
"Primary","1",4,"Education"
"Primary","2-3",35,"Education"
"Primary","4-7",56,"Education"
"Primary","8+",4,"Education"
"Secondary","None",1,"Education"
"Secondary","1",2,"Education"
"Secondary","2-3",29,"Education"
"Secondary","4-7",64,"Education"
"Secondary","8+",4,"Education"
"More than secondary","None",0.4,"Education"
"More than secondary","1",1,"Education"
"More than secondary","2-3",16,"Education"
"More than secondary","4-7",76,"Education"
"More than secondary","8+",7,"Education"
"Lowest","None",4,"Wealth quintile"
"Lowest","1",5,"Wealth quintile"
"Lowest","2-3",37,"Wealth quintile"
"Lowest","4-7",52,"Wealth quintile"
"Lowest","8+",2,"Wealth quintile"
"Second","None",2,"Wealth quintile"
"Second","1",4,"Wealth quintile"
"Second","2-3",35,"Wealth quintile"
"Second","4-7",56,"Wealth quintile"
"Second","8+",3,"Wealth quintile"
"Middle","None",2,"Wealth quintile"
"Middle","1",2,"Wealth quintile"
"Middle","2-3",31,"Wealth quintile"
"Middle","4-7",62,"Wealth quintile"
"Middle","8+",3,"Wealth quintile"
"Fourth","None",1,"Wealth quintile"
"Fourth","1",2,"Wealth quintile"
"Fourth","2-3",27,"Wealth quintile"
"Fourth","4-7",66,"Wealth quintile"
"Fourth","8+",3,"Wealth quintile"
"Highest","None",0.3,"Wealth quintile"
"Highest","1",1,"Wealth quintile"
"Highest","2-3",17,"Wealth quintile"
"Highest","4-7",74,"Wealth quintile"
"Highest","8+",8,"Wealth quintile"
