"Characteristics","Vaccines","Percent","group","indicator","Vaccines1"
"Male","BCG",96.4,"CountyFullyVaccinated12","Gender","Vaccines"
"Male","DPT1",96.9,"CountyFullyVaccinated12","Gender","Vaccines"
"Male","DPT2",93.8,"CountyFullyVaccinated12","Gender","Vaccines"
"Male","DPT3",88.8,"CountyFullyVaccinated12","Gender","Vaccines"
"Male","OPV0",86,"CountyFullyVaccinated12","Gender","Vaccines"
"Male","OPV1",95.9,"CountyFullyVaccinated12","Gender","Vaccines"
"Male","OPV2",93.6,"CountyFullyVaccinated12","Gender","Vaccines"
"Male","OPV3",77.5,"CountyFullyVaccinated12","Gender","Vaccines"
"Male","IPV",88.2,"CountyFullyVaccinated12","Gender","Vaccines"
"Male","Pneumococcal1",96.2,"CountyFullyVaccinated12","Gender","Vaccines"
"Male","Pneumococcal2",95.2,"CountyFullyVaccinated12","Gender","Vaccines"
"Male","Pneumococcal3",91.2,"CountyFullyVaccinated12","Gender","Vaccines"
"Male","Rotavirus1",95.8,"CountyFullyVaccinated12","Gender","Vaccines"
"Male","Rotavirus2",92.1,"CountyFullyVaccinated12","Gender","Vaccines"
"Male","MR1",89.5,"CountyFullyVaccinated12","Gender","Vaccines"
"Male","Fully vaccinated
(basic antigens)",80.2,"CountyFullyVaccinated12","Gender","Summary"
"Male","Fully vaccinated
(national schedule)",56,"CountyFullyVaccinated12","Gender","Summary"
"Male","No vaccinations",2.5,"CountyFullyVaccinated12","Gender","Summary"
"Female","BCG",97.4,"CountyFullyVaccinated12","Gender","Vaccines"
"Female","DPT1",97.3,"CountyFullyVaccinated12","Gender","Vaccines"
"Female","DPT2",94.1,"CountyFullyVaccinated12","Gender","Vaccines"
"Female","DPT3",89.5,"CountyFullyVaccinated12","Gender","Vaccines"
"Female","OPV0",86.2,"CountyFullyVaccinated12","Gender","Vaccines"
"Female","OPV1",97,"CountyFullyVaccinated12","Gender","Vaccines"
"Female","OPV2",94.8,"CountyFullyVaccinated12","Gender","Vaccines"
"Female","OPV3",78.9,"CountyFullyVaccinated12","Gender","Vaccines"
"Female","IPV",86.5,"CountyFullyVaccinated12","Gender","Vaccines"
"Female","Pneumococcal1",96.8,"CountyFullyVaccinated12","Gender","Vaccines"
"Female","Pneumococcal2",95.6,"CountyFullyVaccinated12","Gender","Vaccines"
"Female","Pneumococcal3",91.1,"CountyFullyVaccinated12","Gender","Vaccines"
"Female","Rotavirus1",96.2,"CountyFullyVaccinated12","Gender","Vaccines"
"Female","Rotavirus2",92.5,"CountyFullyVaccinated12","Gender","Vaccines"
"Female","MR1",88.6,"CountyFullyVaccinated12","Gender","Vaccines"
"Female","Fully vaccinated
(basic antigens)",80,"CountyFullyVaccinated12","Gender","Summary"
"Female","Fully vaccinated
(national schedule)",54.4,"CountyFullyVaccinated12","Gender","Summary"
"Female","No vaccinations",1.8,"CountyFullyVaccinated12","Gender","Summary"
"1","BCG",97.1,"CountyFullyVaccinated12","Birth","Vaccines"
"1","DPT1",98,"CountyFullyVaccinated12","Birth","Vaccines"
"1","DPT2",95.8,"CountyFullyVaccinated12","Birth","Vaccines"
"1","DPT3",92,"CountyFullyVaccinated12","Birth","Vaccines"
"1","OPV0",89.9,"CountyFullyVaccinated12","Birth","Vaccines"
"1","OPV1",96.5,"CountyFullyVaccinated12","Birth","Vaccines"
"1","OPV2",94.7,"CountyFullyVaccinated12","Birth","Vaccines"
"1","OPV3",79.8,"CountyFullyVaccinated12","Birth","Vaccines"
"1","IPV",89.5,"CountyFullyVaccinated12","Birth","Vaccines"
"1","Pneumococcal1",97.2,"CountyFullyVaccinated12","Birth","Vaccines"
"1","Pneumococcal2",96.2,"CountyFullyVaccinated12","Birth","Vaccines"
"1","Pneumococcal3",93.4,"CountyFullyVaccinated12","Birth","Vaccines"
"1","Rotavirus1",96.6,"CountyFullyVaccinated12","Birth","Vaccines"
"1","Rotavirus2",94.7,"CountyFullyVaccinated12","Birth","Vaccines"
"1","MR1",94.1,"CountyFullyVaccinated12","Birth","Vaccines"
"1","Fully vaccinated
(basic antigens)",85.1,"CountyFullyVaccinated12","Birth","Summary"
"1","Fully vaccinated
(national schedule)",61.2,"CountyFullyVaccinated12","Birth","Summary"
"1","No vaccinations",1.6,"CountyFullyVaccinated12","Birth","Summary"
"2–3","BCG",97.6,"CountyFullyVaccinated12","Birth","Vaccines"
"2–3","DPT1",97.4,"CountyFullyVaccinated12","Birth","Vaccines"
"2–3","DPT2",94.3,"CountyFullyVaccinated12","Birth","Vaccines"
"2–3","DPT3",89,"CountyFullyVaccinated12","Birth","Vaccines"
"2–3","OPV0",88.9,"CountyFullyVaccinated12","Birth","Vaccines"
"2–3","OPV1",97.2,"CountyFullyVaccinated12","Birth","Vaccines"
"2–3","OPV2",94.6,"CountyFullyVaccinated12","Birth","Vaccines"
"2–3","OPV3",79.1,"CountyFullyVaccinated12","Birth","Vaccines"
"2–3","IPV",88.2,"CountyFullyVaccinated12","Birth","Vaccines"
"2–3","Pneumococcal1",96.7,"CountyFullyVaccinated12","Birth","Vaccines"
"2–3","Pneumococcal2",95.8,"CountyFullyVaccinated12","Birth","Vaccines"
"2–3","Pneumococcal3",91.2,"CountyFullyVaccinated12","Birth","Vaccines"
"2–3","Rotavirus1",96.7,"CountyFullyVaccinated12","Birth","Vaccines"
"2–3","Rotavirus2",92.3,"CountyFullyVaccinated12","Birth","Vaccines"
"2–3","MR1",91.2,"CountyFullyVaccinated12","Birth","Vaccines"
"2–3","Fully vaccinated
(basic antigens)",81.9,"CountyFullyVaccinated12","Birth","Summary"
"2–3","Fully vaccinated
(national schedule)",56.8,"CountyFullyVaccinated12","Birth","Summary"
"2–3","No vaccinations",1.9,"CountyFullyVaccinated12","Birth","Summary"
"4–5","BCG",97,"CountyFullyVaccinated12","Birth","Vaccines"
"4–5","DPT1",96.9,"CountyFullyVaccinated12","Birth","Vaccines"
