households,selection,residence,numbers
Households selected,All_households,rural,"25,411"
Households occupied,All_households,rural,"23,861"
Households interviewed,All_households,rural,"23,581"
Households selected,All_households,urban,"16,611"
Households occupied,All_households,urban,"14,870"
Households interviewed,All_households,urban,"14,330"
Households selected,Long_questionnaire,rural,"13,312"
Households occupied,Long_questionnaire,rural,"12,469"
Households interviewed,Long_questionnaire,rural,"12,318"
Households selected,Long_questionnaire,urban,"8,657"
Households occupied,Long_questionnaire,urban,"7,725"
Households interviewed,Long_questionnaire,urban,"7,429"
Households selected,Short_questionanaire,rural,"12,099"
Households occupied,Short_questionanaire,rural,"11,392"
Households interviewed,Short_questionanaire,rural,"11,263"
Households selected,Short_questionanaire,urban,"7,954"
Households occupied,Short_questionanaire,urban,"7,145"
Households interviewed,Short_questionanaire,urban,"6,901"
