County,Maternal care,Percent
Mombasa,ANC from a skilled provider,99.4
Mombasa,At least four ANC visits,65.3
Mombasa,Took iron supplements,94.1
Mombasa,Neonatal tetanus,62.3
Mombasa,Skilled delivery,95.5
Mombasa,Health facility delivery,94.1
Mombasa,Postnatal check,75.0
Kwale,ANC from a skilled provider,99.3
Kwale,At least four ANC visits,71.9
Kwale,Took iron supplements,96.2
Kwale,Neonatal tetanus,75.2
Kwale,Skilled delivery,89.3
Kwale,Health facility delivery,84.1
Kwale,Postnatal check,89.7
Kilifi,ANC from a skilled provider,99.3
Kilifi,At least four ANC visits,77.3
Kilifi,Took iron supplements,95.1
Kilifi,Neonatal tetanus,71.0
Kilifi,Skilled delivery,84.5
Kilifi,Health facility delivery,83.8
Kilifi,Postnatal check,82.5
Tana River,ANC from a skilled provider,95.3
Tana River,At least four ANC visits,61.2
Tana River,Took iron supplements,86.6
Tana River,Neonatal tetanus,62.2
Tana River,Skilled delivery,59.2
Tana River,Health facility delivery,51.1
Tana River,Postnatal check,59.4
Lamu,ANC from a skilled provider,97.9
Lamu,At least four ANC visits,70.5
Lamu,Took iron supplements,87.1
Lamu,Neonatal tetanus,81.8
Lamu,Skilled delivery,92.5
Lamu,Health facility delivery,90.3
Lamu,Postnatal check,87.5
Taita/Taveta,ANC from a skilled provider,100.0
Taita/Taveta,At least four ANC visits,64.9
Taita/Taveta,Took iron supplements,92.8
Taita/Taveta,Neonatal tetanus,91.3
Taita/Taveta,Skilled delivery,95.7
Taita/Taveta,Health facility delivery,93.3
Taita/Taveta,Postnatal check,86.7
Garissa,ANC from a skilled provider,77.5
Garissa,At least four ANC visits,31.2
Garissa,Took iron supplements,48.0
Garissa,Neonatal tetanus,57.2
Garissa,Skilled delivery,68.1
Garissa,Health facility delivery,61.4
Garissa,Postnatal check,45.4
Wajir,ANC from a skilled provider,84.0
Wajir,At least four ANC visits,44.9
Wajir,Took iron supplements,72.0
Wajir,Neonatal tetanus,60.7
Wajir,Skilled delivery,56.6
Wajir,Health facility delivery,53.6
Wajir,Postnatal check,37.0
Mandera,ANC from a skilled provider,76.4
Mandera,At least four ANC visits,40.4
Mandera,Took iron supplements,61.4
Mandera,Neonatal tetanus,53.6
Mandera,Skilled delivery,54.7
Mandera,Health facility delivery,50.4
Mandera,Postnatal check,45.7
Marsabit,ANC from a skilled provider,93.8
Marsabit,At least four ANC visits,67.1
Marsabit,Took iron supplements,87.0
Marsabit,Neonatal tetanus,67.0
Marsabit,Skilled delivery,68.7
Marsabit,Health facility delivery,59.3
Marsabit,Postnatal check,40.6
Isiolo,ANC from a skilled provider,99.3
Isiolo,At least four ANC visits,52.9
Isiolo,Took iron supplements,84.7
Isiolo,Neonatal tetanus,77.8
Isiolo,Skilled delivery,85.0
Isiolo,Health facility delivery,83.7
Isiolo,Postnatal check,75.1
Meru,ANC from a skilled provider,99.2
Meru,At least four ANC visits,45.0
Meru,Took iron supplements,83.7
Meru,Neonatal tetanus,69.4
Meru,Skilled delivery,90.9
Meru,Health facility delivery,71.6
Meru,Postnatal check,41.3
Tharaka-Nithi,ANC from a skilled provider,98.0
Tharaka-Nithi,At least four ANC visits,63.2
Tharaka-Nithi,Took iron supplements,93.3
Tharaka-Nithi,Neonatal tetanus,79.9
Tharaka-Nithi,Skilled delivery,95.1
Tharaka-Nithi,Health facility delivery,74.9
Tharaka-Nithi,Postnatal check,66.0
Embu,ANC from a skilled provider,100.0
Embu,At least four ANC visits,62.0
Embu,Took iron supplements,88.2
Embu,Neonatal tetanus,89.6
Embu,Skilled delivery,96.3
Embu,Health facility delivery,86.3
Embu,Postnatal check,85.9
Kitui,ANC from a skilled provider,94.1
Kitui,At least four ANC visits,68.2
Kitui,Took iron supplements,88.6
Kitui,Neonatal tetanus,65.7
Kitui,Skilled delivery,86.0
Kitui,Health facility delivery,76.2
Kitui,Postnatal check,75.4
Machakos,ANC from a skilled provider,98.0
Machakos,At least four ANC visits,76.9
Machakos,Took iron supplements,92.5
Machakos,Neonatal tetanus,64.2
Machakos,Skilled delivery,95.3
Machakos,Health facility delivery,93.1
Machakos,Postnatal check,90.1
Makueni,ANC from a skilled provider,99.1
Makueni,At least four ANC visits,75.7
Makueni,Took iron supplements,93.1
Makueni,Neonatal tetanus,83.5
Makueni,Skilled delivery,92.1
Makueni,Health facility delivery,88.1
Makueni,Postnatal check,83.8
Nyandarua,ANC from a skilled provider,98.3
Nyandarua,At least four ANC visits,60.6
Nyandarua,Took iron supplements,92.2
Nyandarua,Neonatal tetanus,75.8
Nyandarua,Skilled delivery,98.0
Nyandarua,Health facility delivery,95.3
Nyandarua,Postnatal check,80.1
Nyeri,ANC from a skilled provider,97.3
Nyeri,At least four ANC visits,82.2
Nyeri,Took iron supplements,90.6
Nyeri,Neonatal tetanus,73.7
Nyeri,Skilled delivery,99.1
Nyeri,Health facility delivery,99.1
Nyeri,Postnatal check,80.4
Kirinyaga,ANC from a skilled provider,100.0
Kirinyaga,At least four ANC visits,67.6
Kirinyaga,Took iron supplements,92.7
Kirinyaga,Neonatal tetanus,64.6
Kirinyaga,Skilled delivery,97.3
Kirinyaga,Health facility delivery,91.6
Kirinyaga,Postnatal check,88.3
Murang’a,ANC from a skilled provider,100.0
Murang’a,At least four ANC visits,58.3
Murang’a,Took iron supplements,90.9
Murang’a,Neonatal tetanus,86.0
Murang’a,Skilled delivery,96.2
Murang’a,Health facility delivery,83.9
Murang’a,Postnatal check,77.6
Kiambu,ANC from a skilled provider,98.4
Kiambu,At least four ANC visits,66.8
Kiambu,Took iron supplements,93.2
Kiambu,Neonatal tetanus,86.1
Kiambu,Skilled delivery,98.2
Kiambu,Health facility delivery,89.2
Kiambu,Postnatal check,83.1
Turkana,ANC from a skilled provider,99.5
Turkana,At least four ANC visits,57.7
Turkana,Took iron supplements,96.9
Turkana,Neonatal tetanus,86.4
Turkana,Skilled delivery,52.6
Turkana,Health facility delivery,43.2
Turkana,Postnatal check,52.1
West Pokot,ANC from a skilled provider,97.9
West Pokot,At least four ANC visits,35.0
West Pokot,Took iron supplements,87.2
West Pokot,Neonatal tetanus,70.6
West Pokot,Skilled delivery,65.3
West Pokot,Health facility delivery,55.5
West Pokot,Postnatal check,65.9
Samburu,ANC from a skilled provider,92.9
Samburu,At least four ANC visits,56.3
Samburu,Took iron supplements,84.5
Samburu,Neonatal tetanus,62.1
Samburu,Skilled delivery,56.6
Samburu,Health facility delivery,49.1
Samburu,Postnatal check,54.1
Trans Nzoia,ANC from a skilled provider,98.8
Trans Nzoia,At least four ANC visits,68.1
Trans Nzoia,Took iron supplements,92.9
Trans Nzoia,Neonatal tetanus,62.3
Trans Nzoia,Skilled delivery,93.3
Trans Nzoia,Health facility delivery,85.2
Trans Nzoia,Postnatal check,74.4
Uasin Gishu,ANC from a skilled provider,98.9
Uasin Gishu,At least four ANC visits,71.9
Uasin Gishu,Took iron supplements,93.5
Uasin Gishu,Neonatal tetanus,67.4
Uasin Gishu,Skilled delivery,95.3
Uasin Gishu,Health facility delivery,91.0
Uasin Gishu,Postnatal check,71.2
Elgeyo/Marakwet,ANC from a skilled provider,99.3
Elgeyo/Marakwet,At least four ANC visits,51.5
Elgeyo/Marakwet,Took iron supplements,86.0
Elgeyo/Marakwet,Neonatal tetanus,69.3
Elgeyo/Marakwet,Skilled delivery,97.5
Elgeyo/Marakwet,Health facility delivery,85.4
Elgeyo/Marakwet,Postnatal check,78.2
Nandi,ANC from a skilled provider,97.6
Nandi,At least four ANC visits,62.1
Nandi,Took iron supplements,80.7
Nandi,Neonatal tetanus,75.7
Nandi,Skilled delivery,87.1
Nandi,Health facility delivery,80.9
Nandi,Postnatal check,63.0
Baringo,ANC from a skilled provider,99.3
Baringo,At least four ANC visits,49.4
Baringo,Took iron supplements,84.2
Baringo,Neonatal tetanus,76.0
Baringo,Skilled delivery,83.0
Baringo,Health facility delivery,58.1
Baringo,Postnatal check,61.7
Laikipia,ANC from a skilled provider,99.0
Laikipia,At least four ANC visits,65.5
Laikipia,Took iron supplements,91.7
Laikipia,Neonatal tetanus,84.2
Laikipia,Skilled delivery,92.6
Laikipia,Health facility delivery,87.1
Laikipia,Postnatal check,66.8
Nakuru,ANC from a skilled provider,97.7
Nakuru,At least four ANC visits,73.4
Nakuru,Took iron supplements,93.5
Nakuru,Neonatal tetanus,90.7
Nakuru,Skilled delivery,93.4
Nakuru,Health facility delivery,93.5
Nakuru,Postnatal check,82.0
Narok,ANC from a skilled provider,96.5
Narok,At least four ANC visits,55.3
Narok,Took iron supplements,83.8
Narok,Neonatal tetanus,75.1
Narok,Skilled delivery,70.1
Narok,Health facility delivery,64.2
Narok,Postnatal check,65.6
Kajiado,ANC from a skilled provider,100.0
Kajiado,At least four ANC visits,81.2
Kajiado,Took iron supplements,94.8
Kajiado,Neonatal tetanus,78.3
Kajiado,Skilled delivery,85.3
Kajiado,Health facility delivery,82.7
Kajiado,Postnatal check,80.8
Kericho,ANC from a skilled provider,95.7
Kericho,At least four ANC visits,58.6
Kericho,Took iron supplements,90.4
Kericho,Neonatal tetanus,87.7
Kericho,Skilled delivery,92.3
Kericho,Health facility delivery,89.7
Kericho,Postnatal check,65.3
Bomet,ANC from a skilled provider,96.6
Bomet,At least four ANC visits,53.3
Bomet,Took iron supplements,90.8
Bomet,Neonatal tetanus,82.8
Bomet,Skilled delivery,88.2
Bomet,Health facility delivery,56.5
Bomet,Postnatal check,52.3
Kakamega,ANC from a skilled provider,100.0
Kakamega,At least four ANC visits,73.3
Kakamega,Took iron supplements,92.7
Kakamega,Neonatal tetanus,79.4
Kakamega,Skilled delivery,95.7
