NAME_1,CountyFullyVaccinated12,CountyFullyVaccinated24,Characteristic
Mombasa,93.9,97.3,county
Kwale,92.8,92.4,county
Kilifi,92.2,96.4,county
Tana River,82.2,92.8,county
Lamu,87.7,100.0,county
Taita/Taveta,89.0,98.4,county
Garissa,53.8,59.9,county
Wajir,81.4,92.5,county
Mandera,47.9,61.6,county
Marsabit,75.8,89.1,county
Isiolo,85.0,96.8,county
Meru,94.0,95.4,county
Tharaka-Nithi,98.7,100.0,county
Embu,(96.4),(96.8),county
Kitui,80.1,90.4,county
Machakos,(91.3),(97.6),county
Makueni,87.0,97.8,county
Nyandarua,88.3,100.0,county
Nyeri,(81.0),(91.5),county
Kirinyaga,97.9,97.9,county
Murang’a,(88.2),(96.7),county
Kiambu,93.7,96.7,county
Turkana,77.0,95.2,county
West Pokot,79.2,95.7,county
Samburu,77.3,90.8,county
Trans Nzoia,92.8,97.4,county
Uasin Gishu,89.9,98.6,county
Elgeyo/Marakwet,86.0,95.6,county
Nandi,85.5,100.0,county
Baringo,80.4,98.5,county
Laikipia,86.7,97.1,county
Nakuru,86.5,99.1,county
Narok,89.6,94.6,county
Kajiado,84.1,94.5,county
Kericho,83.4,93.9,county
Bomet,85.0,98.5,county
Kakamega,90.6,98.7,county
Vihiga,87.5,100.0,county
Bungoma,94.0,100.0,county
Busia,95.0,100.0,county
Siaya,93.6,99.3,county
Kisumu,95.9,100.0,county
Homa Bay,81.0,96.4,county
Migori,97.7,99.1,county
