County,perc_below3sd,perc_below2sd,zscore,no,indicator
Mombasa,3.5,13.5,−0.7,419,HFA
Kwale,6.9,22.7,−1.2,315,HFA
Kilifi,13.4,37.0,−1.5,521,HFA
Tana River,5.6,21.1,−1.0,144,HFA
Lamu,2.5,16.1,−1.0,62,HFA
Taita/Taveta,4.9,19.2,−0.9,124,HFA
Garissa,0.6,9.0,−0.4,222,HFA
Wajir,3.2,12.4,−0.3,135,HFA
Mandera,6.3,20.5,−0.9,240,HFA
Marsabit,4.9,18.9,−0.8,133,HFA
Isiolo,4.3,14.1,−0.6,95,HFA
Meru,4.6,25.2,−1.1,499,HFA
Tharaka-Nithi,3.4,20.5,−1.0,136,HFA
Embu,5.3,19.9,−0.9,170,HFA
Kitui,8.8,25.1,−1.2,382,HFA
Machakos,3.8,16.2,−0.9,404,HFA
Makueni,4.2,19.8,−1.1,306,HFA
Nyandarua,3.2,17.8,−0.9,198,HFA
Nyeri,2.2,12.5,−0.7,231,HFA
Kirinyaga,1.9,11.2,−0.8,200,HFA
Murang’a,1.1,10.1,−0.7,326,HFA
Kiambu,3.8,15.3,−0.8,916,HFA
Turkana,7.3,23.0,−1.1,305,HFA
West Pokot,10.4,33.5,−1.5,420,HFA
Samburu,8.9,31.4,−1.4,144,HFA
Trans Nzoia,4.8,21.3,−1.0,366,HFA
Uasin Gishu,2.7,14.2,−0.8,486,HFA
Elgeyo/Marakwet,3.1,21.8,−1.2,165,HFA
Nandi,2.6,15.1,−0.8,313,HFA
Baringo,4.7,21.2,−1.1,257,HFA
Laikipia,2.5,12.6,−0.8,158,HFA
Nakuru,5.3,18.5,−0.9,913,HFA
Narok,3.5,21.5,−1.2,553,HFA
Kajiado,4.5,14.0,−0.5,506,HFA
Kericho,3.7,19.3,−1.0,338,HFA
Bomet,4.5,22.1,−1.1,341,HFA
Kakamega,2.1,11.5,−0.7,698,HFA
Vihiga,4.2,16.6,−1.0,176,HFA
Bungoma,4.0,19.0,−1.0,665,HFA
Busia,3.1,15.0,−0.7,385,HFA
Siaya,5.3,19.2,−1.0,325,HFA
Kisumu,1.3,9.1,−0.5,419,HFA
Homa Bay,2.3,12.5,−0.7,408,HFA
Migori,2.5,14.8,−0.9,450,HFA
Kisii,4.3,16.3,−0.8,411,HFA
Nyamira,3.0,13.5,−0.9,153,HFA
Nairobi City,2.0,11.1,−0.6,"1,600",HFA
Mombasa,0.2,4.6,−0.3,418,WFH
Kwale,1.1,6.2,−0.4,321,WFH
Kilifi,0.9,7.2,−0.3,519,WFH
Tana River,1.3,11.3,−0.6,144,WFH
Lamu,0.4,3.5,−0.3,63,WFH
Taita/Taveta,0.0,4.1,−0.2,123,WFH
Garissa,2.6,15.3,−0.9,224,WFH
Wajir,3.6,22.8,−1.2,136,WFH
Mandera,2.9,17.3,−1.1,238,WFH
Marsabit,3.8,20.4,−1.1,134,WFH
Isiolo,1.1,7.2,−0.7,95,WFH
Meru,0.0,6.0,−0.1,505,WFH
Tharaka-Nithi,0.0,3.1,−0.1,136,WFH
Embu,1.6,5.3,−0.2,169,WFH
Kitui,1.1,4.9,−0.4,383,WFH
Machakos,0.0,3.5,−0.1,409,WFH
Makueni,0.0,4.0,−0.2,312,WFH
Nyandarua,0.6,1.9,0.2,198,WFH
Nyeri,0.0,2.7,0.2,231,WFH
Kirinyaga,0.0,2.2,−0.0,200,WFH
Murang’a,0.0,1.7,−0.1,326,WFH
Kiambu,1.0,3.2,0.1,929,WFH
Turkana,3.5,22.6,−1.2,306,WFH
West Pokot,0.9,11.0,−0.8,423,WFH
Samburu,1.4,15.4,−0.9,147,WFH
Trans Nzoia,0.0,3.2,−0.2,368,WFH
Uasin Gishu,0.9,4.0,−0.1,486,WFH
Elgeyo/Marakwet,1.0,4.8,−0.4,168,WFH
Nandi,0.3,4.0,−0.2,314,WFH
Baringo,2.3,13.6,−0.8,260,WFH
Laikipia,0.0,2.6,−0.1,160,WFH
Nakuru,0.9,3.0,−0.1,915,WFH
Narok,0.2,2.1,−0.1,556,WFH
Kajiado,1.3,7.6,−0.2,514,WFH
Kericho,0.3,2.5,−0.1,338,WFH
Bomet,0.2,3.3,−0.0,343,WFH
Kakamega,0.0,1.5,0.1,707,WFH
Vihiga,0.0,2.4,0.1,178,WFH
Bungoma,0.0,2.3,−0.0,663,WFH
Busia,0.0,2.8,−0.0,386,WFH
Siaya,1.1,1.7,0.1,327,WFH
Kisumu,0.5,3.0,−0.0,418,WFH
Homa Bay,0.0,1.8,0.1,407,WFH
Migori,0.0,2.4,0.0,449,WFH
Kisii,0.3,2.9,0.1,412,WFH
Nyamira,0.1,1.2,0.2,156,WFH
Nairobi City,0.0,2.5,0.1,"1,623",WFH
Mombasa,1.5,9.8,−0.6,423,WFA
Kwale,2.8,13.7,−0.9,316,WFA
Kilifi,3.1,19.5,−1.1,526,WFA
Tana River,2.6,16.8,−1.0,144,WFA
Lamu,1.0,12.5,−0.8,62,WFA
Taita/Taveta,2.1,12.6,−0.7,124,WFA
Garissa,1.2,14.1,−0.8,222,WFA
Wajir,4.3,16.2,−1.0,135,WFA
Mandera,5.4,23.2,−1.2,241,WFA
Marsabit,6.2,25.9,−1.2,134,WFA
Isiolo,2.4,11.5,−0.8,96,WFA
Meru,1.0,10.8,−0.7,499,WFA
Tharaka-Nithi,2.2,7.7,−0.6,136,WFA
Embu,2.6,11.3,−0.6,171,WFA
Kitui,2.6,13.9,−0.9,383,WFA
Machakos,1.0,8.1,−0.6,407,WFA
Makueni,1.2,8.7,−0.7,306,WFA
Nyandarua,1.4,4.0,−0.4,199,WFA
Nyeri,0.5,4.0,−0.2,232,WFA
Kirinyaga,0.0,5.7,−0.4,200,WFA
Murang’a,0.4,5.9,−0.5,326,WFA
Kiambu,2.1,6.0,−0.3,920,WFA
Turkana,8.8,31.7,−1.5,306,WFA
West Pokot,6.0,27.1,−1.4,420,WFA
Samburu,7.4,30.2,−1.4,146,WFA
Trans Nzoia,0.5,11.1,−0.6,366,WFA
Uasin Gishu,1.0,6.4,−0.5,486,WFA
Elgeyo/Marakwet,2.5,13.9,−0.9,165,WFA
Nandi,0.9,9.0,−0.6,313,WFA
Baringo,5.8,19.9,−1.1,258,WFA
Laikipia,0.5,6.6,−0.5,158,WFA
Nakuru,2.1,9.2,−0.6,913,WFA
Narok,1.0,10.7,−0.7,554,WFA
Kajiado,1.3,9.6,−0.4,509,WFA
Kericho,1.4,9.2,−0.7,339,WFA
Bomet,1.3,9.8,−0.6,341,WFA
Kakamega,0.8,6.4,−0.3,702,WFA
Vihiga,0.8,9.2,−0.4,176,WFA
Bungoma,1.2,9.6,−0.5,665,WFA
Busia,0.7,6.3,−0.4,387,WFA
Siaya,2.1,7.0,−0.5,326,WFA
Kisumu,0.8,3.5,−0.3,419,WFA
Homa Bay,1.0,6.1,−0.3,408,WFA
Migori,0.3,5.0,−0.4,450,WFA
Kisii,1.5,7.8,−0.4,411,WFA
Nyamira,0.2,3.4,−0.4,153,WFA
Nairobi City,0.4,5.3,−0.2,"1,606",WFA
