Households,selection,residence,numbers
Households selected,All households,Rural,"25,411"
Households occupied,All households,Rural,"23,861"
Households interviewed,All households,Rural,"23,581"
Households selected,All households,Urban,"16,611"
Households occupied,All households,Urban,"14,870"
Households interviewed,All households,Urban,"14,330"
Households selected,Long questionnaire,Rural,"13,312"
Households occupied,Long questionnaire,Rural,"12,469"
Households interviewed,Long questionnaire,Rural,"12,318"
Households selected,Long questionnaire,Urban,"8,657"
Households occupied,Long questionnaire,Urban,"7,725"
Households interviewed,Long questionnaire,Urban,"7,429"
Households selected,Short questionanaire,Rural,"12,099"
Households occupied,Short questionanaire,Rural,"11,392"
Households interviewed,Short questionanaire,Rural,"11,263"
Households selected,Short questionanaire,Urban,"7,954"
Households occupied,Short questionanaire,Urban,"7,145"
Households interviewed,Short questionanaire,Urban,"6,901"
