County,weighted_perc,weighted_no,unweighted_no
Mombasa,2.9,947,749
Kwale,1.5,498,711
Kilifi,2.9,928,742
Tana River,0.5,149,641
Lamu,0.3,101,675
Taita Taveta,0.7,234,483
Garissa,0.9,290,641
Wajir,0.5,160,745
Mandera,0.6,206,723
Marsabit,0.4,129,535
Isiolo,0.4,137,623
Meru,3.0,979,602
Tharaka Nithi,0.8,271,535
Embu,1.1,358,584
Kitui,2.3,735,671
Machakos,3.1,992,699
Makueni,2.1,683,720
Nyandarua,1.3,409,590
Nyeri,1.6,501,529
Kirinyaga,1.5,481,605
Muranga,2.2,692,557
Kiambu,6.5,"2,094",668
Turkana,1.0,331,644
West Pokot,1.2,384,756
Samburu,0.5,156,615
Trans Nzoia,2.1,675,713
Uasin Gishu,3.1,983,731
Elgeyo Marakwet,0.7,228,591
Nandi,1.9,622,721
Baringo,1.2,378,687
Laikipia,1.0,332,576
Nakuru,5.2,"1,658",782
Narok,2.2,718,744
Kajiado,2.8,887,660
Kericho,2.3,729,779
Bomet,2.0,650,778
Kakamega,4.0,"1,283",810
Vihiga,1.2,371,721
Bungoma,3.5,"1,138",841
Busia,1.9,622,768
Siaya,1.7,537,674
Kisumu,2.4,771,761
Homa Bay,2.1,662,712
Migori,2.1,674,777
Kisii,2.6,831,708
Nyamira,1.0,327,635
Nairobi,13.2,"4,235",944
