County,Ever,Last 12 months,Number_women
Mombasa,9.8,3.8,500
Kwale,4.3,3.3,264
Kilifi,12.2,6.5,491
Tana River,2.3,1.5,81
Lamu,14.5,6.3,51
Taita/Taveta,14.0,3.0,110
Garissa,5.8,3.5,148
Wajir,1.5,1.0,84
Mandera,0.8,0.8,104
Marsabit,1.0,1.0,68
Isiolo,9.2,5.3,69
Meru,16.0,8.2,547
Tharaka-Nithi,12.5,6.9,146
Embu,21.5,13.0,207
Kitui,0.9,0.4,391
Machakos,6.3,3.0,515
Makueni,4.7,3.2,362
Nyandarua,17.5,6.9,222
Nyeri,15.1,5.6,276
Kirinyaga,12.9,3.2,263
Murang’a,24.3,13.6,359
Kiambu,16.6,9.8,"1,091"
Turkana,10.8,6.7,176
West Pokot,7.5,6.3,205
Samburu,6.9,4.2,87
Trans Nzoia,13.1,5.6,351
Uasin Gishu,9.9,4.6,495
Elgeyo/Marakwet,6.9,4.0,119
Nandi,6.0,2.6,334
Baringo,8.4,5.7,207
Laikipia,10.9,3.1,175
Nakuru,13.8,3.6,898
Narok,17.5,8.7,376
Kajiado,16.9,8.6,471
Kericho,3.2,1.5,386
Bomet,12.9,7.4,369
Kakamega,16.8,8.9,707
Vihiga,11.9,5.6,195
Bungoma,30.3,16.6,623
Busia,14.7,8.9,309
Siaya,5.7,4.3,291
Kisumu,10.8,6.6,420
Homa Bay,23.1,10.8,352
Migori,16.7,7.4,364
Kisii,16.0,10.1,404
Nyamira,14.5,6.3,176
Nairobi City,12.2,5.8,"2,088"
