Wealth_quintile,NHIF,Private_commercial,Community_based,Other,None_DontKnow,Any_health_insurance,Number_of_people,Participants
Lowest,3.6,0.4,1.0,0.0,95.0,5.0,"7,446",Women
Second,10.7,0.7,0.7,0.1,88.0,12.0,"7,616",Women
Middle,20.0,1.4,0.9,0.1,78.3,21.7,"7,334",Women
Fourth,31.4,4.2,0.5,0.0,66.2,33.8,"7,463",Women
Highest,50.4,11.9,0.1,0.0,43.8,56.2,"7,861",Women
Lowest,3.6,0.3,0.9,0.0,95.3,4.7,"7,172",Men
Second,11.2,0.6,0.5,0.0,87.9,12.1,"7,134",Men
Middle,19.9,1.8,0.6,0.1,78.4,21.6,"7,190",Men
Fourth,33.2,4.3,0.4,0.0,64.0,36.0,"7,521",Men
Highest,54.0,14.5,0.2,0.0,40.1,59.9,"6,728",Men
