Marital_status,No_difficulty,Seeing,Hearing,Communicating,Remembering_concentrating,Walking_ClimbingSteps,WashingAllOver_dressing,SomeDifficulty,A_lot_of_difficulty,Cannot_do_at_all,A_lot_of_difficulty_cannot_do_at_all,A_lot_of_difficulty_cannot_do_at_all_more_than_one_domain,Number,Participants
Never married,84.6,9.2,2.8,1.8,2.8,3.7,1.5,11.7,2.9,0.6,3.5,1.0,"6,226",Women
Married/living together,75.8,14.3,3.9,0.8,6.3,10.6,2.5,19.2,4.8,0.1,4.9,1.3,"12,082",Women
Widowed,32.1,42.8,19.8,4.9,27.6,45.9,17.9,39.4,25.3,3.0,28.3,12.1,"2,398",Women
Divorced/separated,68.0,17.6,5.0,1.2,9.8,14.4,3.3,24.2,7.6,0.1,7.7,1.6,"1,748",Women
Not asked/missing,90.4,3.5,2.5,1.1,2.1,1.2,1.5,7.3,1.7,0.4,2.2,0.4,"9,619",Women
Never married,88.0,5.2,2.3,1.9,3.5,2.8,1.6,8.5,2.7,0.8,3.4,1.1,"7,765",Men
Married/living together,73.6,16.7,4.8,1.5,6.2,9.7,3.0,20.3,5.5,0.4,5.9,1.5,"10,830",Men
Widowed,39.2,39.0,16.0,4.3,20.4,35.7,18.8,39.7,16.1,5.0,21.1,9.7,354,Men
Divorced/separated,68.4,15.0,6.2,2.5,10.3,12.1,4.3,23.0,7.4,0.8,8.1,1.3,969,Men
Not asked/missing,89.1,3.4,2.5,1.7,2.5,1.5,2.6,7.8,2.2,0.8,3.0,0.6,"9,510",Men
