Desire_children,Number of children,Percent
Have another soon2,0,66.0
Have another soon2,1,30.2
Have another soon2,2,18.1
Have another soon2,3,10.4
Have another soon2,4,7.7
Have another soon2,5,6.4
Have another soon2,6+,7.8
Have another soon2,V9,16.7
Have another later3,0,22.1
Have another later3,1,58.2
Have another later3,2,43.3
Have another later3,3,22.7
Have another later3,4,14.3
Have another later3,5,11.9
Have another later3,6+,8.5
Have another later3,V9,30.1
"Have another, undecided when",0,0.9
"Have another, undecided when",1,1.1
"Have another, undecided when",2,0.7
"Have another, undecided when",3,0.6
"Have another, undecided when",4,0.2
"Have another, undecided when",5,0.1
"Have another, undecided when",6+,0.6
"Have another, undecided when",V9,0.6
Undecided,0,3.4
Undecided,1,3.7
Undecided,2,6.4
Undecided,3,6.4
Undecided,4,4.6
Undecided,5,4.7
Undecided,6+,6.0
Undecided,V9,5.4
Want no more,0,2.5
Want no more,1,5.6
Want no more,2,29.5
Want no more,3,56.2
Want no more,4,66.2
Want no more,5,69.6
Want no more,6+,68.6
Want no more,V9,43.0
Sterilized4,0,0.7
Sterilized4,1,0.1
Sterilized4,2,0.6
Sterilized4,3,2.4
Sterilized4,4,4.7
Sterilized4,5,5.5
Sterilized4,6+,6.0
Sterilized4,V9,2.5
Declared infecund,0,4.3
Declared infecund,1,1.1
Declared infecund,2,1.4
Declared infecund,3,1.3
Declared infecund,4,2.1
Declared infecund,5,1.9
Declared infecund,6+,2.6
Declared infecund,V9,1.7
