County,Contraceptive_use,Percent
Mombasa,Any method,46.7
Mombasa,Modern method,42.1
Mombasa,Traditional method,4.6
Kwale,Any method,34.6
Kwale,Modern method,34.6
Kwale,Traditional method,0.0
Kilifi,Any method,48.6
Kilifi,Modern method,44.7
Kilifi,Traditional method,3.9
Tana River,Any method,24.8
Tana River,Modern method,23.2
Tana River,Traditional method,1.6
Lamu,Any method,42.4
Lamu,Modern method,39.2
Lamu,Traditional method,3.2
Taita/Taveta,Any method,67.5
Taita/Taveta,Modern method,64.5
Taita/Taveta,Traditional method,3.0
Garissa,Any method,12.7
Garissa,Modern method,11.1
Garissa,Traditional method,1.6
Wajir,Any method,3.0
Wajir,Modern method,2.8
Wajir,Traditional method,0.2
Mandera,Any method,2.1
Mandera,Modern method,1.8
Mandera,Traditional method,0.3
Marsabit,Any method,5.9
Marsabit,Modern method,5.6
Marsabit,Traditional method,0.2
Isiolo,Any method,30.7
Isiolo,Modern method,28.7
Isiolo,Traditional method,1.9
Meru,Any method,76.0
Meru,Modern method,69.7
Meru,Traditional method,6.3
Tharaka-Nithi,Any method,74.7
Tharaka-Nithi,Modern method,67.9
Tharaka-Nithi,Traditional method,6.7
Embu,Any method,81.7
Embu,Modern method,75.2
Embu,Traditional method,6.6
Kitui,Any method,68.3
Kitui,Modern method,62.4
Kitui,Traditional method,6.0
Machakos,Any method,76.3
Machakos,Modern method,66.4
Machakos,Traditional method,9.8
Makueni,Any method,73.3
Makueni,Modern method,64.4
Makueni,Traditional method,8.9
Nyandarua,Any method,71.4
Nyandarua,Modern method,66.7
Nyandarua,Traditional method,4.7
Nyeri,Any method,81.0
Nyeri,Modern method,70.5
Nyeri,Traditional method,10.5
Kirinyaga,Any method,76.6
Kirinyaga,Modern method,70.8
Kirinyaga,Traditional method,5.8
Murang’a,Any method,72.7
Murang’a,Modern method,67.3
Murang’a,Traditional method,5.4
Kiambu,Any method,77.4
Kiambu,Modern method,68.2
Kiambu,Traditional method,9.2
Turkana,Any method,43.8
Turkana,Modern method,30.7
Turkana,Traditional method,13.1
West Pokot,Any method,23.5
West Pokot,Modern method,23.2
West Pokot,Traditional method,0.3
Samburu,Any method,33.7
Samburu,Modern method,25.4
Samburu,Traditional method,8.3
Trans Nzoia,Any method,69.8
Trans Nzoia,Modern method,65.4
Trans Nzoia,Traditional method,4.4
Uasin Gishu,Any method,71.1
Uasin Gishu,Modern method,62.7
Uasin Gishu,Traditional method,8.4
Elgeyo/Marakwet,Any method,74.3
Elgeyo/Marakwet,Modern method,59.0
Elgeyo/Marakwet,Traditional method,15.3
Nandi,Any method,65.6
Nandi,Modern method,60.0
Nandi,Traditional method,5.6
Baringo,Any method,57.8
Baringo,Modern method,47.7
Baringo,Traditional method,10.1
Laikipia,Any method,72.3
Laikipia,Modern method,64.5
Laikipia,Traditional method,7.8
Nakuru,Any method,72.5
Nakuru,Modern method,66.6
Nakuru,Traditional method,5.9
Narok,Any method,65.2
Narok,Modern method,52.2
Narok,Traditional method,13.0
Kajiado,Any method,63.9
Kajiado,Modern method,57.3
Kajiado,Traditional method,6.6
Kericho,Any method,60.2
Kericho,Modern method,60.0
Kericho,Traditional method,0.3
Bomet,Any method,63.9
Bomet,Modern method,57.8
Bomet,Traditional method,6.1
Kakamega,Any method,66.7
Kakamega,Modern method,63.4
Kakamega,Traditional method,3.4
Vihiga,Any method,62.4
Vihiga,Modern method,60.1
Vihiga,Traditional method,2.3
Bungoma,Any method,66.0
Bungoma,Modern method,63.7
Bungoma,Traditional method,2.3
Busia,Any method,56.4
Busia,Modern method,55.4
Busia,Traditional method,1.0
Siaya,Any method,43.5
Siaya,Modern method,42.9
Siaya,Traditional method,0.6
Kisumu,Any method,60.0
Kisumu,Modern method,56.6
Kisumu,Traditional method,3.4
Homa Bay,Any method,56.8
Homa Bay,Modern method,54.3
Homa Bay,Traditional method,2.5
Migori,Any method,60.2
Migori,Modern method,54.7
Migori,Traditional method,5.5
Kisii,Any method,68.1
Kisii,Modern method,63.5
Kisii,Traditional method,4.5
Nyamira,Any method,67.9
Nyamira,Modern method,64.8
Nyamira,Traditional method,3.1
Nairobi City,Any method,62.5
Nairobi City,Modern method,56.2
Nairobi City,Traditional method,6.3
