County,Family_planning,Percent
Mombasa,Unmet need,19.1
Mombasa,Met need (all methods),46.8
Mombasa,Total demand,65.9
Mombasa,Demand satisfied (all methods),71.0
Kwale,Unmet need,24.4
Kwale,Met need (all methods),32.5
Kwale,Total demand,56.9
Kwale,Demand satisfied (all methods),57.1
Kilifi,Unmet need,17.9
Kilifi,Met need (all methods),51.0
Kilifi,Total demand,68.9
Kilifi,Demand satisfied (all methods),74.0
Tana River,Unmet need,33.6
Tana River,Met need (all methods),24.5
Tana River,Total demand,58.1
Tana River,Demand satisfied (all methods),42.2
Lamu,Unmet need,16.8
Lamu,Met need (all methods),46.5
Lamu,Total demand,63.3
Lamu,Demand satisfied (all methods),73.4
Taita/Taveta,Unmet need,12.8
Taita/Taveta,Met need (all methods),67.1
Taita/Taveta,Total demand,80.0
Taita/Taveta,Demand satisfied (all methods),84.0
Garissa,Unmet need,10.8
Garissa,Met need (all methods),15.2
Garissa,Total demand,26.1
Garissa,Demand satisfied (all methods),58.5
Wajir,Unmet need,12.7
Wajir,Met need (all methods),4.2
Wajir,Total demand,16.9
Wajir,Demand satisfied (all methods),24.9
Mandera,Unmet need,17.3
Mandera,Met need (all methods),0.7
Mandera,Total demand,18.0
Mandera,Demand satisfied (all methods),4.1
Marsabit,Unmet need,37.6
Marsabit,Met need (all methods),4.8
Marsabit,Total demand,42.4
Marsabit,Demand satisfied (all methods),11.4
Isiolo,Unmet need,27.3
Isiolo,Met need (all methods),33.0
Isiolo,Total demand,60.2
Isiolo,Demand satisfied (all methods),54.8
Meru,Unmet need,7.8
Meru,Met need (all methods),77.7
Meru,Total demand,85.5
Meru,Demand satisfied (all methods),90.9
Tharaka-Nithi,Unmet need,9.7
Tharaka-Nithi,Met need (all methods),72.9
Tharaka-Nithi,Total demand,82.6
Tharaka-Nithi,Demand satisfied (all methods),88.2
Embu,Unmet need,2.2
Embu,Met need (all methods),81.7
Embu,Total demand,83.9
Embu,Demand satisfied (all methods),97.4
