Background characteristic,Alone,Jointly ,Both alone and jointly ,Percentage who do not own a house,Total,Number
Age,,,,,,
15–19,0.3,2.8,0.1,96.8,100,"6,025"
20–24,1,16.7,0.1,82.1,100,"6,001"
25–29,2,30.3,0.1,67.6,100,"5,687"
30–34,4.5,37.4,0.1,57.9,100,"4,530"
35–39,8.1,41.7,0.2,50,100,"4,311"
40–44,11.4,46.9,0.1,41.7,100,"3,084"
45–49,14,48.8,0.2,37.1,100,"2,518"
 ,,,,,,
Residence,,,,,,
Urban,2.4,14.6,0.1,82.9,100,"13,143"
Rural,6,37.5,0.1,56.3,100,"19,013"
 ,,,,,,
Education,,,,,,
No Education,10.2,36.3,0.4,53.1,100,"1,770"
Primary,6.7,36.6,0.1,56.7,100,"11,687"
Secondary,2.4,21.1,0.1,76.4,100,"12,204"
More than secondary,2.9,23.3,0.1,73.6,100,"6,150"
 ,,,,,,
Wealth quintile,,,,,,
Lowest,8.8,36.8,0.1,54.2,100,"5,019"
Second,5.7,38.3,0.1,56,100,"5,698"
Middle,4.6,34,0.1,61.3,100,"6,069"
Fourth,2.9,21.1,0.1,75.8,100,"7,139"
Highest,2.4,17.8,0.1,79.7,100,"8,231"
 ,,,,,,
Total,4.5,28.2,0.1,67.2,100,"32,156"
