Background Characteristic,Name is on title deed,Name is not on title deed,Does not have a title deed,Don't know ,Number
Age,,,,,
15–19,0.4,0.6,98.6,0.4,408
20–24,2.9,3.4,93.5,0.2,566
25–29,5.1,6.4,88.1,0.3,973
30–34,9.8,6.9,82.9,0.3,"1,091"
35–39,13.4,6.8,79.6,0.2,"1,128"
40–44,16.6,7.1,76.1,0.1,"1,044"
45–49,17.8,5.4,76.5,0.3,878
 ,,,,,
Residence,,,,,
Urban,18.9,3.7,76.9,0.5,"1,558"
Rural,8,6.6,85.2,0.2,"4,532"
 ,,,,,
Education,,,,,
No Education,15.6,4,80.3,0.1,250
Primary,7.5,6.7,85.6,0.2,"2,701"
Secondary,9.4,5.1,85,0.5,"1,862"
More than secondary,20.2,5.9,73.7,0.2,"1,147"
 ,,,,,
Wealth quintile,,,,,
Lowest,3.7,6.1,89.9,0.2,"1,178"
Second,5.4,6.5,87.9,0.1,"1,439"
Middle,8.9,6.8,84.1,0.2,"1,331"
Fourth,14,5.1,80.4,0.5,"1,276"
Highest,27.4,4.1,68.2,0.3,865
 ,,,,,
Total 15–49,10.8,5.9,83.1,0.3,"6,089"
 ,,,,,
50–54,24.2,5.2,70.2,0.4,710
 ,,,,,
Total 15–54,12.2,5.8,81.7,0.3,"6,799"
