Background Characteristic,Alone,Jointly ,Both alone and jointly ,Percentage who do not own a house,Number
Age,,,,,
15–19,10.5,0.9,1.4,87.2,"3,175"
20–24,19.3,3.1,1.1,76.5,"2,404"
25–29,33.4,9,0.6,57.1,"2,268"
30–34,47.9,13.1,0.1,38.9,"1,787"
35–39,56.4,15.1,0.1,28.5,"1,577"
40–44,58.7,19.6,0,21.6,"1,332"
45–49,59,20.1,0.1,20.8,"1,109"
 ,,,,,
Residence,,,,,
Urban,21.7,7.1,0.1,71.1,"5,382"
Rural,43.1,10.7,1,45.2,"8,270"
 ,,,,,
Education,,,,,
No Education,46.7,20.7,0.3,32.3,369
Primary,42.6,12.1,0.5,44.8,"4,894"
Secondary,27.2,6.5,0.9,65.4,"5,386"
More than secondary,32.2,8.4,0.5,59,"2,797"
 ,,,,,
Wealth quintile,,,,,
Lowest,43.8,12.3,1,42.9,"2,062"
Second,43.9,10.3,1.5,44.3,"2,584"
Middle,38.2,9.7,0.4,51.7,"2,754"
Fourth,29.8,8,0.5,61.6,"3,325"
Highest,22.4,7.1,0.1,70.5,"2,927"
 ,,,,,
Total 15–49,34.7,9.2,0.7,55.4,"13,652"
 ,,,,,
50–54,63.1,25.6,0,11.3,801
 ,,,,,
Total 15–54,36.3,10.2,0.6,53,"14,453"
