Background characteristic,Alone,Jointly ,Both alone and jointly ,Percentage who do not own land,Total,Number
Age,,,,,,
15–19,0.5,0.4,0,99.1,100,"3,175"
20–24,2.3,1.1,0.1,96.5,100,"2,404"
25–29,4.4,1.3,0,94.2,100,"2,268"
30–34,8.8,1.9,0,89.2,100,"1,787"
35–39,12.6,2.4,0,85,100,"1,577"
40–44,12.9,3.3,0.3,83.6,100,"1,332"
45–49,15,3.2,0,81.8,100,"1,109"
 ,,,,,,
Residence,,,,,,
Urban,6.9,1.3,0.1,91.7,100,"5,382"
Rural,6,1.8,0,92.2,100,"8,270"
 ,,,,,,
Education,,,,,,
No education,6.4,2.3,0,91.3,100,369
Primary,5.5,1.5,0,92.9,100,"4,894"
Secondary,4.1,1.4,0.1,94.5,100,"5,386"
More than secondary,11.8,2,0.1,86.1,100,"2,797"
 ,,,,,,
Wealth quintile,,,,,,
Lowest,3.4,1.9,0,94.7,100,"2,062"
Second,5.1,1.1,0,93.8,100,"2,584"
Middle,6,2,0,92,100,"2,754"
Fourth,5.6,1.6,0.1,92.7,100,"3,325"
Highest,10.7,1.5,0.1,87.8,100,"2,927"
 ,,,,,,
Total 15–49,6.4,1.6,0,92,100,"13,652"
 ,,,,,,
50–54,18.3,3.5,0.8,77.4,100,801
 ,,,,,,
Total 15–54,7,1.7,0.1,91.2,100,"14,453"
