Background characteristic,Indicator,Alone,Jointly ,Both alone and jointly ,Percentage who do not own land,Total,Number
Age,15–20,0.5,0.4,0,99.1,100,"3,175"
Age,20–25,2.3,1.1,0.1,96.5,100,"2,404"
Age,25–30,4.4,1.3,0,94.2,100,"2,268"
Age,30–35,8.8,1.9,0,89.2,100,"1,787"
Age,35–40,12.6,2.4,0,85,100,"1,577"
Age,40–45,12.9,3.3,0.3,83.6,100,"1,332"
Age,45–50,15,3.2,0,81.8,100,"1,109"
Residence,Urban,6.9,1.3,0.1,91.7,100,"5,382"
Residence,Rural,6,1.8,0,92.2,100,"8,270"
Education,No education,6.4,2.3,0,91.3,100,369
Education,Primary,5.5,1.5,0,92.9,100,"4,894"
Education,Secondary,4.1,1.4,0.1,94.5,100,"5,386"
Education,More than secondary,11.8,2,0.1,86.1,100,"2,797"
Wealth quintile,Lowest,3.4,1.9,0,94.7,100,"2,062"
Wealth quintile,Second,5.1,1.1,0,93.8,100,"2,584"
Wealth quintile,Middle,6,2,0,92,100,"2,754"
Wealth quintile,Fourth,5.6,1.6,0.1,92.7,100,"3,325"
Wealth quintile,Highest,10.7,1.5,0.1,87.8,100,"2,927"
Total,15–50,6.4,1.6,0,92,100,"13,652"
Total,50–55,18.3,3.5,0.8,77.4,100,801
Total,15–55,7,1.7,0.1,91.2,100,"14,453"
