Background characteristic,Indicator,Value,Category
Age,15–19,19.5,Experienced physical violence since age 15
Age,20–24,29,Experienced physical violence since age 15
Age,25–29,36.9,Experienced physical violence since age 15
Age,30–39,40.2,Experienced physical violence since age 15
Age,40–49,41.7,Experienced physical violence since age 15
Residence,Urban,31.6,Experienced physical violence since age 15
Residence,Rural,35.5,Experienced physical violence since age 15
Marital status,Never married,19.8,Experienced physical violence since age 15
Marital status,Never ever had intimate partner,12.3,Experienced physical violence since age 15
Marital status,Ever had intimate partner,25.2,Experienced physical violence since age 15
Marital status,Ever married,40.7,Experienced physical violence since age 15
Marital status,Married/living together,37,Experienced physical violence since age 15
Marital status,Divorced/separated/widowed,58.4,Experienced physical violence since age 15
Education,No education,35.9,Experienced physical violence since age 15
Education,Primary,42.7,Experienced physical violence since age 15
Education,Secondary,30.9,Experienced physical violence since age 15
Education,More than secondary,23.3,Experienced physical violence since age 15
Wealth quintile,Lowest,36.9,Experienced physical violence since age 15
Wealth quintile,Second,36.7,Experienced physical violence since age 15
Wealth quintile,Middle,36.8,Experienced physical violence since age 15
Wealth quintile,Fourth,33.6,Experienced physical violence since age 15
Wealth quintile,Highest,28.1,Experienced physical violence since age 15
Total ,15–49,33.9,Experienced physical violence since age 15
Age,15–19,1,Often
Age,20–24,2.9,Often
Age,25–29,4.4,Often
Age,30–39,4.9,Often
Age,40–49,4,Often
Residence,Urban,3.3,Often
Residence,Rural,3.7,Often
Marital status,Never married,0.9,Often
Marital status,Never ever had intimate partner,0.5,Often
Marital status,Ever had intimate partner,1.3,Often
Marital status,Ever married,4.8,Often
Marital status,Married/living together,4.1,Often
Marital status,Divorced/separated/widowed,8.1,Often
Education,No education,4.9,Often
Education,Primary,5.5,Often
Education,Secondary,2.9,Often
Education,More than secondary,0.9,Often
Wealth quintile,Lowest,5.3,Often
Wealth quintile,Second,4.4,Often
Wealth quintile,Middle,3.5,Often
Wealth quintile,Fourth,2.8,Often
Wealth quintile,Highest,2.4,Often
Total ,15–49,3.5,Often
Age,15–19,10,Sometimes
Age,20–24,12.3,Sometimes
Age,25–29,14.4,Sometimes
Age,30–39,13.2,Sometimes
Age,40–49,9.8,Sometimes
Residence,Urban,10,Sometimes
Residence,Rural,13.5,Sometimes
Marital status,Never married,8,Sometimes
Marital status,Never ever had intimate partner,6.2,Sometimes
Marital status,Ever had intimate partner,9.3,Sometimes
Marital status,Ever married,14,Sometimes
Marital status,Married/living together,14.7,Sometimes
Marital status,Divorced/separated/widowed,10.8,Sometimes
Education,No education,12.7,Sometimes
Education,Primary,15.7,Sometimes
Education,Secondary,11.6,Sometimes
Education,More than secondary,5.8,Sometimes
Wealth quintile,Lowest,15.8,Sometimes
Wealth quintile,Second,14.4,Sometimes
Wealth quintile,Middle,13.8,Sometimes
Wealth quintile,Fourth,11,Sometimes
Wealth quintile,Highest,7.6,Sometimes
Total ,15–49,12.1,Sometimes
Age,15–19,11.2,Often or sometimes
Age,20–24,15.4,Often or sometimes
Age,25–29,18.9,Often or sometimes
Age,30–39,18.2,Often or sometimes
Age,40–49,13.9,Often or sometimes
Residence,Urban,13.4,Often or sometimes
Residence,Rural,17.3,Often or sometimes
Marital status,Never married,9,Often or sometimes
Marital status,Never ever had intimate partner,6.7,Often or sometimes
Marital status,Ever had intimate partner,10.7,Often or sometimes
Marital status,Ever married,19,Often or sometimes
Marital status,Married/living together,18.9,Often or sometimes
Marital status,Divorced/separated/widowed,19.3,Often or sometimes
Education,No education,17.6,Often or sometimes
Education,Primary,21.4,Often or sometimes
Education,Secondary,14.7,Often or sometimes
Education,More than secondary,6.8,Often or sometimes
Wealth quintile,Lowest,21.2,Often or sometimes
Wealth quintile,Second,19,Often or sometimes
Wealth quintile,Middle,17.4,Often or sometimes
Wealth quintile,Fourth,14.1,Often or sometimes
Wealth quintile,Highest,10,Often or sometimes
Total ,15–49,15.8,Often or sometimes
