County,indicators,values,names1
Kisii,CountyFullyVaccinated12,81.6,"Kisii, 82%"
Kisii,CountyFullyVaccinated24,50.9,"Kisii, 51%"
Nyamira,CountyFullyVaccinated12,55.8,"Nyamira, 56%"
Nyamira,CountyFullyVaccinated24,48.5,"Nyamira, 48%"
Nairobi,CountyFullyVaccinated12,45.8,"Nairobi, 46%"
Nairobi,CountyFullyVaccinated24,30.5,"Nairobi, 30%"
Mombasa,CountyFullyVaccinated12,70.4,"Mombasa, 70%"
Mombasa,CountyFullyVaccinated24,24.8,"Mombasa, 25%"
Kwale,CountyFullyVaccinated12,50.1,"Kwale, 50%"
Kwale,CountyFullyVaccinated24,39.3,"Kwale, 39%"
Kilifi,CountyFullyVaccinated12,62.5,"Kilifi, 62%"
Kilifi,CountyFullyVaccinated24,47.6,"Kilifi, 48%"
Tana River,CountyFullyVaccinated12,39.2,"Tana River, 39%"
Tana River,CountyFullyVaccinated24,28.1,"Tana River, 28%"
Lamu,CountyFullyVaccinated12,54.2,"Lamu, 54%"
Lamu,CountyFullyVaccinated24,36.6,"Lamu, 37%"
Taita Taveta,CountyFullyVaccinated12,65.4,"Taita Taveta, 65%"
Taita Taveta,CountyFullyVaccinated24,44.3,"Taita Taveta, 44%"
Garissa,CountyFullyVaccinated12,16.9,"Garissa, 17%"
Garissa,CountyFullyVaccinated24,3.6,"Garissa, 4%"
Wajir,CountyFullyVaccinated12,19.2,"Wajir, 19%"
Wajir,CountyFullyVaccinated24,5.5,"Wajir, 6%"
Mandera,CountyFullyVaccinated12,5.6,"Mandera, 6%"
Mandera,CountyFullyVaccinated24,3.5,"Mandera, 4%"
Marsabit,CountyFullyVaccinated12,19.3,"Marsabit, 19%"
Marsabit,CountyFullyVaccinated24,8.4,"Marsabit, 8%"
Isiolo,CountyFullyVaccinated12,37.1,"Isiolo, 37%"
Isiolo,CountyFullyVaccinated24,25.3,"Isiolo, 25%"
Meru,CountyFullyVaccinated12,57.9,"Meru, 58%"
Meru,CountyFullyVaccinated24,49.1,"Meru, 49%"
Tharaka Nithi,CountyFullyVaccinated12,82.1,"Tharaka Nithi, 82%"
Tharaka Nithi,CountyFullyVaccinated24,48.5,"Tharaka Nithi, 48%"
Embu,CountyFullyVaccinated12,75.6,"Embu, 76%"
Embu,CountyFullyVaccinated24,52.6,"Embu, 53%"
Kitui,CountyFullyVaccinated12,49.4,"Kitui, 49%"
Kitui,CountyFullyVaccinated24,24.7,"Kitui, 25%"
Machakos,CountyFullyVaccinated12,70.8,"Machakos, 71%"
Machakos,CountyFullyVaccinated24,60.9,"Machakos, 61%"
Makueni,CountyFullyVaccinated12,65.5,"Makueni, 66%"
Makueni,CountyFullyVaccinated24,48.4,"Makueni, 48%"
Nyandarua,CountyFullyVaccinated12,70.6,"Nyandarua, 71%"
Nyandarua,CountyFullyVaccinated24,63.5,"Nyandarua, 64%"
Nyeri,CountyFullyVaccinated12,56.6,"Nyeri, 57%"
Nyeri,CountyFullyVaccinated24,45.1,"Nyeri, 45%"
